"filename", "language", "JSON", "JSON with Comments", "TypeScript", "SCSS", "HTML", "XML", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\bubbleApp\BubbleApp-Mobile\.eslintrc.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"d:\bubbleApp\BubbleApp-Mobile\.well-known\assetlinks.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\bubbleApp\BubbleApp-Mobile\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 103, 0, 0, 44, 147
"d:\bubbleApp\BubbleApp-Mobile\angular.json", "JSON", 133, 0, 0, 0, 0, 0, 0, 0, 20, 2, 155
"d:\bubbleApp\BubbleApp-Mobile\assetlinks.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\bubbleApp\BubbleApp-Mobile\capacitor.config.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"d:\bubbleApp\BubbleApp-Mobile\cypress.config.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 2, 11
"d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\1-getting-started\todo.cy.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 58, 66, 20, 144
"d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\actions.cy.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 146, 92, 62, 300
"d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\aliasing.cy.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 15, 18, 7, 40
"d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\assertions.cy.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 107, 43, 27, 177
"d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\connectors.cy.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 69, 16, 13, 98
"d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\cookies.cy.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 42, 14, 22, 78
"d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\cypress_api.cy.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 126, 35, 40, 201
"d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\files.cy.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 10, 72, 6, 88
