Date : 2022-10-21 14:12:51
Directory : d:\bubbleApp\BubbleApp-Mobile
Total : 348 files,  63732 codes, 2079 comments, 2594 blanks, all 68405 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         10 |     31,750 |         22 |         11 |     31,783 |
| SCSS               |         39 |     15,917 |        310 |        586 |     16,813 |
| TypeScript         |        148 |      8,208 |        412 |      1,177 |      9,797 |
| HTML               |         37 |      5,433 |        667 |        289 |      6,389 |
| JavaScript         |         24 |      1,314 |        667 |        416 |      2,397 |
| XML                |         88 |        985 |          0 |         70 |      1,055 |
| Markdown           |          1 |        103 |          0 |         44 |        147 |
| JSON with Comments |          1 |         22 |          1 |          1 |         24 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        348 |     63,732 |      2,079 |      2,594 |     68,405 |
| .well-known                                                                                                          |          1 |         12 |          0 |          1 |         13 |
| cypress                                                                                                              |         27 |      1,301 |        719 |        422 |      2,442 |
| cypress\e2e                                                                                                          |         23 |      1,277 |        661 |        414 |      2,352 |
| cypress\e2e\1-getting-started                                                                                        |          1 |         58 |         66 |         20 |        144 |
| cypress\e2e\2-advanced-examples                                                                                      |         19 |      1,121 |        575 |        363 |      2,059 |
| cypress\e2e\angular                                                                                                  |          3 |         98 |         20 |         31 |        149 |
| cypress\fixtures                                                                                                     |          1 |          5 |          0 |          1 |          6 |
| cypress\support                                                                                                      |          3 |         19 |         58 |          7 |         84 |
| src                                                                                                                  |        307 |     30,489 |      1,330 |      2,109 |     33,928 |
| src\app                                                                                                              |        210 |     28,599 |      1,192 |      1,922 |     31,713 |
| src\app\directives                                                                                                   |          7 |        153 |          2 |         26 |        181 |
| src\app\directives\common-directives                                                                                 |          6 |        131 |          2 |         24 |        157 |
| src\app\guard                                                                                                        |          1 |         35 |          1 |          3 |         39 |
| src\app\helpers                                                                                                      |          2 |         10 |          0 |          3 |         13 |
| src\app\interceptor                                                                                                  |          1 |         36 |          4 |          4 |         44 |
| src\app\pages                                                                                                        |        180 |     27,076 |      1,053 |      1,731 |     29,860 |
| src\app\pages\auth-module                                                                                            |         40 |      6,056 |        167 |        383 |      6,606 |
| src\app\pages\auth-module\forgot-password                                                                            |          6 |        781 |         17 |         40 |        838 |
| src\app\pages\auth-module\login                                                                                      |          6 |      1,016 |         28 |         72 |      1,116 |
| src\app\pages\auth-module\reset-password                                                                             |          6 |        995 |         17 |         56 |      1,068 |
| src\app\pages\auth-module\signup                                                                                     |          6 |        987 |         19 |         66 |      1,072 |
| src\app\pages\auth-module\signup-details                                                                             |          6 |      1,429 |         34 |         78 |      1,541 |
| src\app\pages\auth-module\verify-otp                                                                                 |          6 |        757 |         52 |         58 |        867 |
| src\app\pages\bubble-screen                                                                                          |          7 |      1,282 |        355 |        105 |      1,742 |
| src\app\pages\bubble-screen-list                                                                                     |          6 |        650 |          1 |         41 |        692 |
| src\app\pages\home                                                                                                   |         22 |      4,753 |         52 |        259 |      5,064 |
| src\app\pages\home\home-page                                                                                         |          6 |      1,239 |         30 |         95 |      1,364 |
| src\app\pages\home\profile                                                                                           |         14 |      3,483 |         22 |        158 |      3,663 |
| src\app\pages\home\profile\edit-profile                                                                              |          6 |      1,337 |         12 |         81 |      1,430 |
| src\app\pages\home\profile\view-profile                                                                              |          8 |      2,146 |         10 |         77 |      2,233 |
| src\app\pages\home\profile\view-profile\change-password                                                              |          3 |        731 |          2 |         21 |        754 |
| src\app\pages\invoice                                                                                                |         10 |      1,303 |         10 |         76 |      1,389 |
| src\app\pages\invoice\terms-of-service                                                                               |          4 |         97 |          1 |         15 |        113 |
| src\app\pages\profile-view                                                                                           |         20 |      4,751 |        213 |        243 |      5,207 |
